customer_id,customer_name,gender,age,province,city,register_date,channel,vip_level
C00001,薛桐诺,男,49,广东,深圳,2024-12-31,抖音,银卡会员
C00002,邵佳子,女,20,江苏,苏州,2025-12-19,天猫,银卡会员
C00003,龚妍诗,男,33,广东,东莞,2024-12-05,京东,金卡会员
C00004,孔明航,女,23,湖北,宜昌,2024-12-10,天猫,金卡会员
C00005,邱斌国,女,54,山东,未知,2024-04-01,天猫,银卡会员
C00006,龚梅,女,42,上海,上海,2025-08-03,天猫,普通会员
C00007,武雅,男,45,浙江,宁波,2025-05-20,拼多多,金卡会员
C00008,孙琴,女,47,四川,成都,2025-09-12,天猫,金卡会员
C00009,范子志,女,27,陕西,咸阳,2024-03-07,天猫,金卡会员
C00010,范强斌,女,20,陕西,西安,2024-06-01,天猫,钻石会员
C00011,夏雨梦,女,35,广东,深圳,2025-09-23,拼多多,普通会员
C00012,邱诗兰,男,25,江苏,南京,2024-01-31,京东,银卡会员
C00013,谭志,女,31,江苏,南京,2024-12-31,小程序,银卡会员
C00014,冯军飞,男,31,浙江,宁波,2024-10-18,抖音,普通会员
C00015,黄飞远,男,51,四川,成都,2025-11-07,抖音,银卡会员
C00016,邓芳,女,31,上海,上海,2025-09-08,抖音,普通会员
C00017,傅敏懿,女,24,广东,佛山,2025-10-07,天猫,普通会员
C00018,萧佳超,女,59,上海,上海,2024-07-27,小程序,普通会员
C00019,曾懿,女,20,四川,成都,2025-02-27,小程序,银卡会员
C00020,唐浩建,男,26,广东,广州,2025-05-19,天猫,银卡会员
C00021,陆艳,女,32,湖南,株洲,2025-11-27,抖音,普通会员
C00022,吕敏强,男,20,广东,东莞,2024-01-06,天猫,普通会员
C00023,刘婷,女,56,重庆,重庆,2025-12-04,抖音,银卡会员
C00024,袁磊,女,33,广东,广州,2024-09-12,拼多多,普通会员
C00025,史一子,男,51,陕西,西安,2024-04-02,小程序,普通会员
C00026,陈杰,男,23,重庆,重庆,2025-03-19,京东,普通会员
C00027,戴泽,男,40,安徽,芜湖,2025-07-16,抖音,金卡会员
